# Athena++ data at time=5.040000e+12  cycle=336031117  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13064e+18  2.14917e-18  9.01893e-06  3.27609e+04  1.49163e-09  0.00000e+00
0003  1.13294e+18  1.96637e-18  8.49466e-06  1.11149e+05  1.40770e-03  0.00000e+00
0004  1.13525e+18  1.86265e-18  8.15775e-06  1.12292e+05  3.36435e-03  0.00000e+00
0005  1.13755e+18  1.76567e-18  7.84542e-06  1.17070e+05  5.40711e-03  0.00000e+00
0006  1.13985e+18  1.67470e-18  7.55554e-06  1.22602e+05  7.41179e-03  0.00000e+00
0007  1.14215e+18  1.58936e-18  7.28199e-06  1.28621e+05  9.35165e-03  0.00000e+00
0008  1.14445e+18  1.50788e-18  7.02374e-06  1.34994e+05  1.12235e-02  0.00000e+00
0009  1.14676e+18  1.42918e-18  6.77968e-06  1.41842e+05  1.30294e-02  0.00000e+00
0010  1.14906e+18  1.35284e-18  6.54940e-06  1.49231e+05  1.47725e-02  0.00000e+00
0011  1.15136e+18  1.28286e-18  6.33148e-06  1.56816e+05  1.64562e-02  0.00000e+00
0012  1.15366e+18  1.21553e-18  6.12628e-06  1.64757e+05  1.80837e-02  0.00000e+00
0013  1.15596e+18  1.15337e-18  5.93169e-06  1.73027e+05  1.96579e-02  0.00000e+00
0014  1.15827e+18  1.09448e-18  5.74807e-06  1.81570e+05  2.11816e-02  0.00000e+00
0015  1.16057e+18  1.03826e-18  5.57414e-06  1.90662e+05  2.26576e-02  0.00000e+00
0016  1.16287e+18  9.83248e-19  5.40990e-06  2.00488e+05  2.40883e-02  0.00000e+00
0017  1.16517e+18  9.28815e-19  5.25507e-06  2.11322e+05  2.54763e-02  0.00000e+00
0018  1.16747e+18  8.79585e-19  5.10844e-06  2.22378e+05  2.68237e-02  0.00000e+00
0019  1.16977e+18  8.36316e-19  4.97030e-06  2.32942e+05  2.81330e-02  0.00000e+00
0020  1.17208e+18  8.01310e-19  4.83786e-06  2.42430e+05  2.94056e-02  0.00000e+00
0021  1.17438e+18  7.63531e-19  4.71408e-06  2.52874e+05  3.06440e-02  0.00000e+00
0022  1.17668e+18  7.27560e-19  4.59402e-06  2.64678e+05  3.18493e-02  0.00000e+00
0023  1.17898e+18  6.94462e-19  4.48056e-06  2.76226e+05  3.30231e-02  0.00000e+00
0024  1.18128e+18  6.61905e-19  4.37284e-06  2.88574e+05  3.41670e-02  0.00000e+00
0025  1.18359e+18  6.29421e-19  4.27032e-06  3.02202e+05  3.52823e-02  0.00000e+00
0026  1.18589e+18  5.99152e-19  4.17261e-06  3.16313e+05  3.63706e-02  0.00000e+00
0027  1.18819e+18  5.73268e-19  4.07924e-06  3.29581e+05  3.74328e-02  0.00000e+00
0028  1.19049e+18  5.48199e-19  3.99125e-06  3.43050e+05  3.84704e-02  0.00000e+00
0029  1.19279e+18  5.23102e-19  3.90671e-06  3.58086e+05  3.94846e-02  0.00000e+00
0030  1.19510e+18  4.99027e-19  3.82588e-06  3.73990e+05  4.04762e-02  0.00000e+00
0031  1.19740e+18  4.76778e-19  3.74858e-06  3.90114e+05  4.14462e-02  0.00000e+00
0032  1.19970e+18  4.54679e-19  3.67533e-06  4.07372e+05  4.23956e-02  0.00000e+00
0033  1.20200e+18  4.31785e-19  3.60521e-06  4.27219e+05  4.33255e-02  0.00000e+00
0034  1.20430e+18  4.07465e-19  3.53918e-06  4.50324e+05  4.42368e-02  0.00000e+00
0035  1.20661e+18  3.88115e-19  3.47418e-06  4.72112e+05  4.51300e-02  0.00000e+00
0036  1.20891e+18  3.72760e-19  3.41411e-06  4.89731e+05  4.60062e-02  0.00000e+00
0037  1.21121e+18  3.57408e-19  3.35728e-06  5.08395e+05  4.68664e-02  0.00000e+00
0038  1.21351e+18  3.41056e-19  3.30169e-06  5.30785e+05  4.77111e-02  0.00000e+00
0039  1.21581e+18  3.23679e-19  3.24799e-06  5.57275e+05  4.85407e-02  0.00000e+00
0040  1.21812e+18  3.05139e-19  3.19619e-06  5.89064e+05  4.93560e-02  0.00000e+00
0041  1.22042e+18  2.85208e-19  3.14601e-06  6.28049e+05  5.01570e-02  0.00000e+00
0042  1.22272e+18  2.62200e-19  3.09901e-06  6.79398e+05  5.09450e-02  0.00000e+00
0043  1.22502e+18  2.40198e-19  3.05042e-06  7.40237e+05  5.17195e-02  0.00000e+00
0044  1.22732e+18  2.21487e-19  3.00493e-06  8.00901e+05  5.24810e-02  0.00000e+00
0045  1.22963e+18  2.02998e-19  2.96483e-06  8.68519e+05  5.32309e-02  0.00000e+00
0046  1.23193e+18  1.84148e-19  2.92657e-06  9.49974e+05  5.39702e-02  0.00000e+00
0047  1.23423e+18  1.71364e-19  2.88707e-06  1.01803e+06  5.46984e-02  0.00000e+00
0048  1.23653e+18  1.67144e-19  2.85422e-06  1.04537e+06  5.54166e-02  0.00000e+00
0049  1.23883e+18  1.64387e-19  2.83013e-06  1.05653e+06  5.61275e-02  0.00000e+00
0050  1.24114e+18  1.61440e-19  2.80478e-06  1.07130e+06  5.68315e-02  0.00000e+00
0051  1.24344e+18  1.58486e-19  2.77937e-06  1.08735e+06  5.75285e-02  0.00000e+00
0052  1.24574e+18  1.55640e-19  2.75462e-06  1.10317e+06  5.82187e-02  0.00000e+00
0053  1.24804e+18  1.52889e-19  2.73044e-06  1.11885e+06  5.89023e-02  0.00000e+00
0054  1.25034e+18  1.50223e-19  2.70677e-06  1.13444e+06  5.95793e-02  0.00000e+00
0055  1.25265e+18  1.47735e-19  2.68350e-06  1.14942e+06  6.02500e-02  0.00000e+00
0056  1.25495e+18  1.45434e-19  2.66086e-06  1.16338e+06  6.09144e-02  0.00000e+00
0057  1.25725e+18  1.43217e-19  2.63879e-06  1.17698e+06  6.15727e-02  0.00000e+00
0058  1.25955e+18  1.41044e-19  2.61702e-06  1.19073e+06  6.22250e-02  0.00000e+00
0059  1.26185e+18  1.38922e-19  2.59560e-06  1.20452e+06  6.28715e-02  0.00000e+00
0060  1.26415e+18  1.36853e-19  2.57456e-06  1.21828e+06  6.35122e-02  0.00000e+00
0061  1.26646e+18  1.34835e-19  2.55387e-06  1.23202e+06  6.41472e-02  0.00000e+00
0062  1.26876e+18  1.32867e-19  2.53353e-06  1.24574e+06  6.47766e-02  0.00000e+00
0063  1.27106e+18  1.30946e-19  2.51353e-06  1.25944e+06  6.54005e-02  0.00000e+00
0064  1.27336e+18  1.29071e-19  2.49386e-06  1.27311e+06  6.60190e-02  0.00000e+00
0065  1.27566e+18  1.27242e-19  2.47452e-06  1.28675e+06  6.66322e-02  0.00000e+00
0066  1.27797e+18  1.25459e-19  2.45552e-06  1.30030e+06  6.72401e-02  0.00000e+00
0067  1.28027e+18  1.23731e-19  2.43690e-06  1.31363e+06  6.78430e-02  0.00000e+00
0068  1.28257e+18  1.22190e-19  2.41848e-06  1.32574e+06  6.84407e-02  0.00000e+00
0069  1.28487e+18  1.20736e-19  2.40082e-06  1.33674e+06  6.90336e-02  0.00000e+00
0070  1.28717e+18  1.19297e-19  2.38329e-06  1.34799e+06  6.96217e-02  0.00000e+00
0071  1.28948e+18  1.17879e-19  2.36596e-06  1.35935e+06  7.02050e-02  0.00000e+00
0072  1.29178e+18  1.16489e-19  2.34887e-06  1.37072e+06  7.07836e-02  0.00000e+00
0073  1.29408e+18  1.14992e-19  2.33237e-06  1.38283e+06  7.13577e-02  0.00000e+00
0074  1.29638e+18  1.13871e-19  2.31530e-06  1.39277e+06  7.19271e-02  0.00000e+00
0075  1.29868e+18  1.12890e-19  2.29992e-06  1.39938e+06  7.24922e-02  0.00000e+00
0076  1.30099e+18  1.11892e-19  2.28434e-06  1.40682e+06  7.30531e-02  0.00000e+00
0077  1.30329e+18  1.10901e-19  2.26888e-06  1.41441e+06  7.36097e-02  0.00000e+00
0078  1.30559e+18  1.09924e-19  2.25363e-06  1.42195e+06  7.41622e-02  0.00000e+00
0079  1.30789e+18  1.08960e-19  2.23855e-06  1.42948e+06  7.47106e-02  0.00000e+00
0080  1.31019e+18  1.08008e-19  2.22365e-06  1.43702e+06  7.52548e-02  0.00000e+00
0081  1.31250e+18  1.07068e-19  2.20892e-06  1.44456e+06  7.57951e-02  0.00000e+00
0082  1.31480e+18  1.06139e-19  2.19436e-06  1.45209e+06  7.63313e-02  0.00000e+00
0083  1.31710e+18  1.05223e-19  2.17996e-06  1.45963e+06  7.68637e-02  0.00000e+00
0084  1.31940e+18  1.04317e-19  2.16573e-06  1.46716e+06  7.73921e-02  0.00000e+00
0085  1.32170e+18  1.03423e-19  2.15167e-06  1.47469e+06  7.79167e-02  0.00000e+00
0086  1.32401e+18  1.02540e-19  2.13776e-06  1.48222e+06  7.84375e-02  0.00000e+00
0087  1.32631e+18  1.01668e-19  2.12400e-06  1.48975e+06  7.89545e-02  0.00000e+00
0088  1.32861e+18  1.00807e-19  2.11041e-06  1.49728e+06  7.94678e-02  0.00000e+00
0089  1.33091e+18  9.99559e-20  2.09696e-06  1.50481e+06  7.99774e-02  0.00000e+00
0090  1.33321e+18  9.91154e-20  2.08367e-06  1.51233e+06  8.04833e-02  0.00000e+00
0091  1.33552e+18  9.82852e-20  2.07052e-06  1.51986e+06  8.09857e-02  0.00000e+00
0092  1.33782e+18  9.74650e-20  2.05752e-06  1.52738e+06  8.14845e-02  0.00000e+00
0093  1.34012e+18  9.66547e-20  2.04466e-06  1.53489e+06  8.19798e-02  0.00000e+00
0094  1.34242e+18  9.58541e-20  2.03194e-06  1.54241e+06  8.24716e-02  0.00000e+00
0095  1.34472e+18  9.50632e-20  2.01937e-06  1.54992e+06  8.29599e-02  0.00000e+00
0096  1.34702e+18  9.42818e-20  2.00693e-06  1.55743e+06  8.34449e-02  0.00000e+00
0097  1.34933e+18  9.35096e-20  1.99462e-06  1.56494e+06  8.39264e-02  0.00000e+00
0098  1.35163e+18  9.27467e-20  1.98245e-06  1.57244e+06  8.44047e-02  0.00000e+00
0099  1.35393e+18  9.19928e-20  1.97041e-06  1.57994e+06  8.48796e-02  0.00000e+00
0100  1.35623e+18  9.12478e-20  1.95851e-06  1.58744e+06  8.53513e-02  0.00000e+00
0101  1.35853e+18  9.05117e-20  1.94672e-06  1.59493e+06  8.58198e-02  0.00000e+00
0102  1.36084e+18  8.97841e-20  1.93507e-06  1.60242e+06  8.62850e-02  0.00000e+00
0103  1.36314e+18  8.90651e-20  1.92354e-06  1.60990e+06  8.67471e-02  0.00000e+00
0104  1.36544e+18  8.83545e-20  1.91213e-06  1.61738e+06  8.72061e-02  0.00000e+00
0105  1.36774e+18  8.76522e-20  1.90085e-06  1.62486e+06  8.76620e-02  0.00000e+00
0106  1.37004e+18  8.69581e-20  1.88968e-06  1.63233e+06  8.81148e-02  0.00000e+00
0107  1.37235e+18  8.62723e-20  1.87864e-06  1.63979e+06  8.85646e-02  0.00000e+00
0108  1.37465e+18  8.55952e-20  1.86772e-06  1.64721e+06  8.90114e-02  0.00000e+00
0109  1.37695e+18  8.49333e-20  1.85693e-06  1.65449e+06  8.94553e-02  0.00000e+00
0110  1.37925e+18  8.43092e-20  1.84627e-06  1.66127e+06  8.98962e-02  0.00000e+00
0111  1.38155e+18  8.37026e-20  1.83584e-06  1.66768e+06  9.03343e-02  0.00000e+00
0112  1.38386e+18  8.30994e-20  1.82548e-06  1.67419e+06  9.07696e-02  0.00000e+00
0113  1.38616e+18  8.25016e-20  1.81520e-06  1.68073e+06  9.12020e-02  0.00000e+00
0114  1.38846e+18  8.19102e-20  1.80504e-06  1.68726e+06  9.16317e-02  0.00000e+00
0115  1.39076e+18  8.13250e-20  1.79497e-06  1.69378e+06  9.20586e-02  0.00000e+00
0116  1.39306e+18  8.07459e-20  1.78500e-06  1.70029e+06  9.24828e-02  0.00000e+00
0117  1.39537e+18  8.01728e-20  1.77514e-06  1.70680e+06  9.29044e-02  0.00000e+00
0118  1.39767e+18  7.96056e-20  1.76536e-06  1.71331e+06  9.33232e-02  0.00000e+00
0119  1.39997e+18  7.90443e-20  1.75569e-06  1.71980e+06  9.37394e-02  0.00000e+00
0120  1.40227e+18  7.84887e-20  1.74610e-06  1.72630e+06  9.41530e-02  0.00000e+00
0121  1.40457e+18  7.79387e-20  1.73661e-06  1.73278e+06  9.45640e-02  0.00000e+00
0122  1.40688e+18  7.73944e-20  1.72722e-06  1.73926e+06  9.49725e-02  0.00000e+00
0123  1.40918e+18  7.68557e-20  1.71791e-06  1.74574e+06  9.53784e-02  0.00000e+00
0124  1.41148e+18  7.63224e-20  1.70869e-06  1.75221e+06  9.57818e-02  0.00000e+00
0125  1.41378e+18  7.57945e-20  1.69956e-06  1.75867e+06  9.61827e-02  0.00000e+00
0126  1.41608e+18  7.52719e-20  1.69052e-06  1.76513e+06  9.65811e-02  0.00000e+00
0127  1.41839e+18  7.47546e-20  1.68157e-06  1.77158e+06  9.69771e-02  0.00000e+00
0128  1.42069e+18  7.42424e-20  1.67270e-06  1.77802e+06  9.73707e-02  0.00000e+00
0129  1.42299e+18  7.37354e-20  1.66391e-06  1.78446e+06  9.77619e-02  0.00000e+00
0130  1.42529e+18  7.32335e-20  1.65521e-06  1.79089e+06  9.81507e-02  0.00000e+00
0131  1.42759e+18  7.27365e-20  1.64659e-06  1.79732e+06  9.85372e-02  0.00000e+00
0132  1.42990e+18  7.22445e-20  1.63805e-06  1.80374e+06  9.89213e-02  0.00000e+00
0133  1.43220e+18  7.17574e-20  1.62959e-06  1.81015e+06  9.93032e-02  0.00000e+00
0134  1.43450e+18  7.12750e-20  1.62121e-06  1.81655e+06  9.96828e-02  0.00000e+00
0135  1.43680e+18  7.07975e-20  1.61291e-06  1.82295e+06  1.00060e-01  0.00000e+00
0136  1.43910e+18  7.03246e-20  1.60468e-06  1.82934e+06  1.00435e-01  0.00000e+00
0137  1.44140e+18  6.98563e-20  1.59654e-06  1.83573e+06  1.00808e-01  0.00000e+00
0138  1.44371e+18  6.93926e-20  1.58846e-06  1.84211e+06  1.01179e-01  0.00000e+00
0139  1.44601e+18  6.89335e-20  1.58047e-06  1.84848e+06  1.01547e-01  0.00000e+00
0142  1.44831e+18  6.84789e-20  1.57254e-06  1.85484e+06  1.01914e-01  0.00000e+00
0143  1.45061e+18  6.80289e-20  1.56470e-06  1.86118e+06  1.02278e-01  0.00000e+00
0144  1.45291e+18  6.75841e-20  1.55693e-06  1.86747e+06  1.02640e-01  0.00000e+00
0145  1.45522e+18  6.71465e-20  1.54928e-06  1.87363e+06  1.03000e-01  0.00000e+00
0146  1.45752e+18  6.67339e-20  1.54178e-06  1.87919e+06  1.03358e-01  0.00000e+00
0147  1.45982e+18  6.64131e-20  1.53437e-06  1.88278e+06  1.03714e-01  0.00000e+00
0148  1.46212e+18  6.61141e-20  1.52746e-06  1.88504e+06  1.04068e-01  0.00000e+00
0149  1.46442e+18  6.58089e-20  1.52041e-06  1.88785e+06  1.04420e-01  0.00000e+00
0150  1.46673e+18  6.55064e-20  1.51342e-06  1.89065e+06  1.04771e-01  0.00000e+00
0151  1.46903e+18  6.52046e-20  1.50645e-06  1.89354e+06  1.05119e-01  0.00000e+00
0152  1.47133e+18  6.48588e-20  1.49953e-06  1.89752e+06  1.05466e-01  0.00000e+00
0153  1.47363e+18  6.44520e-20  1.49236e-06  1.90343e+06  1.05811e-01  0.00000e+00
0154  1.47593e+18  6.40301e-20  1.48507e-06  1.91013e+06  1.06154e-01  0.00000e+00
0155  1.47824e+18  6.36171e-20  1.47793e-06  1.91658e+06  1.06495e-01  0.00000e+00
0156  1.48054e+18  6.32098e-20  1.47087e-06  1.92293e+06  1.06834e-01  0.00000e+00
0157  1.48284e+18  6.28050e-20  1.46388e-06  1.92932e+06  1.07171e-01  0.00000e+00
0158  1.48514e+18  6.24021e-20  1.45693e-06  1.93576e+06  1.07506e-01  0.00000e+00
0159  1.48744e+18  6.20012e-20  1.45004e-06  1.94225e+06  1.07839e-01  0.00000e+00
0160  1.48975e+18  6.16024e-20  1.44321e-06  1.94878e+06  1.08171e-01  0.00000e+00
0161  1.49205e+18  6.12057e-20  1.43643e-06  1.95537e+06  1.08501e-01  0.00000e+00
0162  1.49435e+18  6.08109e-20  1.42970e-06  1.96200e+06  1.08828e-01  0.00000e+00
0163  1.49665e+18  6.04184e-20  1.42303e-06  1.96867e+06  1.09155e-01  0.00000e+00
0164  1.49895e+18  6.00288e-20  1.41643e-06  1.97533e+06  1.09479e-01  0.00000e+00
0165  1.50126e+18  5.96459e-20  1.40994e-06  1.98182e+06  1.09801e-01  0.00000e+00
0166  1.50356e+18  5.92787e-20  1.40369e-06  1.98760e+06  1.10122e-01  0.00000e+00
0167  1.50586e+18  5.90535e-20  1.39751e-06  1.99017e+06  1.10441e-01  0.00000e+00
0168  1.50816e+18  5.88664e-20  1.39200e-06  1.99028e+06  1.10759e-01  0.00000e+00
0169  1.51046e+18  5.85713e-20  1.38615e-06  1.99352e+06  1.11075e-01  0.00000e+00
0170  1.51277e+18  5.82201e-20  1.37970e-06  1.99966e+06  1.11390e-01  0.00000e+00
0171  1.51507e+18  5.78838e-20  1.37350e-06  2.00527e+06  1.11703e-01  0.00000e+00
0172  1.51737e+18  5.75604e-20  1.36746e-06  2.01040e+06  1.12014e-01  0.00000e+00
0173  1.51967e+18  5.72410e-20  1.36148e-06  2.01548e+06  1.12324e-01  0.00000e+00
0174  1.52197e+18  5.69234e-20  1.35554e-06  2.02060e+06  1.12632e-01  0.00000e+00
0175  1.52427e+18  5.66081e-20  1.34964e-06  2.02572e+06  1.12938e-01  0.00000e+00
0176  1.52658e+18  5.62952e-20  1.34379e-06  2.03084e+06  1.13243e-01  0.00000e+00
0177  1.52888e+18  5.59849e-20  1.33799e-06  2.03595e+06  1.13546e-01  0.00000e+00
